task_id,mode,score,cost_usd,duration_s,status,runs_count,sustained_findings,workdir,trace_id,reasons
extract-timeout-constant,single,1.0,0.14852,10.555,done,1,0,/tmp/coterie-bench-real/workdirs/extract-timeout-constant/single,,✓ src/api/client.py contains 'TIMEOUT_MS' | ✓ run reached status=done
extract-timeout-constant,adversarial,1.0,0.14734375,28.743,done,2,0,/tmp/coterie-bench-real/workdirs/extract-timeout-constant/adversarial,,✓ src/api/client.py contains 'TIMEOUT_MS' | ✓ run reached status=done
find-bugs-router,consensus,1.0,0.19835100000000003,29.122,done,2,0,/tmp/coterie-bench-real/workdirs/find-bugs-router/consensus,,"✓ found critical finding: The submitted workspace does not contain pkg/router, so the  | ✓ run reached status=done"
find-bugs-router,adversarial,1.0,0.43732825,142.752,done,4,4,/tmp/coterie-bench-real/workdirs/find-bugs-router/adversarial,,"✓ found high finding: The admin branch calls admin_handler, but that name is neith | ✓ run reached status=done"
implement-checkout,adversarial,1.0,2.95252475,594.885,done,4,8,/tmp/coterie-bench-real/workdirs/implement-checkout/adversarial,,✓ run reached status=done
implement-checkout,tournament,1.0,0.323278,43.308,done,2,0,/tmp/coterie-bench-real/workdirs/implement-checkout/tournament,,✓ run reached status=done
postgres-or-sqlite,debate,1.0,0.27872025,90.613,done,4,0,/tmp/coterie-bench-real/workdirs/postgres-or-sqlite/debate,,✓ run reached status=done
rename-foo-to-bar,single,0.6666666666666666,0.4789147500000001,55.88,done,1,0,/tmp/coterie-bench-real/workdirs/rename-foo-to-bar/single,,✗ missing file src/foo.py | ✓ src/foo.py does not exist | ✓ run reached status=done
rename-foo-to-bar,adversarial,0.6666666666666666,0.35074750000000005,72.669,done,2,0,/tmp/coterie-bench-real/workdirs/rename-foo-to-bar/adversarial,,✗ missing file src/foo.py | ✓ src/foo.py does not exist | ✓ run reached status=done
rename-foo-to-bar,tournament,1.0,0.17466875000000004,26.546,done,2,0,/tmp/coterie-bench-real/workdirs/rename-foo-to-bar/tournament,,✓ src/foo.py contains 'bar' | ✓ src/foo.py no longer contains 'def foo' | ✓ run reached status=done
